PointName,Lng,Lat,Score
巨星桥北1,116.6908743,39.86324281,3.22
巨星桥北2,116.6908255,39.86331185,4.33
巨星桥北3,116.6908344,39.86347284,4.89
巨星桥北4,116.6908354,39.86327385,4.33
巨星桥北5,116.6907985,39.86336988,4.33
聚福园小区,116.6969196,39.68605341,7.67
军屯村,116.8236005,39.72578138,1.56
军屯村西口,116.8169018,39.72797377,1.56
军庄村路口,116.8523293,39.71112162,1.56
科创十六街,116.5660879,39.77268374,1.56
科创十三街,116.5617515,39.77889056,3.78
科创十四街西站,116.5573092,39.77609267,4.33
科创十五街,116.5639525,39.77644712,2.67
科技大学管庄校区,116.5841827,39.9188498,43.78
科印小区1,116.6338066,39.89971143,8.22
科印小区2,116.6337547,39.89986047,9.89
科印小区3,116.6337795,39.89979349,9.33
科印小区4,116.6333197,39.90072163,15.44
科印小区5,116.6333237,39.90072682,15.44
科印小区6,116.6337746,39.89982545,9.33
科印小区7,116.6332929,39.90077941,15.44
孔庄村,116.8151007,39.69797378,1.56
喇嘛庄路口,116.7279885,39.95783697,12.11
莱茵湾小区,116.6270011,40.01778001,1.56
蓝调沙龙小区1,116.6475512,39.88697387,23.78
蓝调沙龙小区2,116.6474684,39.88667904,23.22
郎府乡政府,116.8349801,39.79918404,2.11
老槐庄村,116.8188426,39.70718852,2.11
老槐庄村东口,116.8262039,39.70781634,2.11
老槐庄村桥,116.8315668,39.70862009,1.56
梨园北街1,116.6789139,39.88779546,6.56
梨园北街2,116.6790345,39.88785838,6
梨园北街3,116.6779297,39.88753595,9.33
梨园北街4,116.6778781,39.88750244,9.33
梨园北街5,116.681136,39.88767841,20.44
梨园东里,116.6743783,39.88621291,8.22
梨园东里北区,116.6743564,39.88618795,8.22
梨园东里南区,116.677332,39.88080855,15.44
梨园南街,116.6934367,39.88587587,3.78
梨园南街东口,116.7002703,39.88798435,4.89
梨园南街西口,116.6716632,39.87875413,9.33
李辛庄村,116.8494678,39.72256111,3.22
李辛庄村南口,116.8510876,39.71851308,1
李庄佳苑,116.6786801,39.94489413,6.56
里二泗村1,116.7737669,39.82953208,2.67
里二泗村2,116.7736947,39.82966921,2.11
里二泗村3,116.7736858,39.82967189,2.11
里二泗村4,116.7745546,39.82836257,2.11
里二泗村5,116.7745636,39.82832755,2.11
里二泗村北口1,116.771615,39.83286104,2.11
里二泗村北口2,116.7716079,39.83286414,2.11
里二泗村北口3,116.771633,39.83284715,2.11
里二泗村北口4,116.771583,39.83288695,2.11
里二泗村北口5,116.771579,39.83291693,2.11
里二泗西口,116.7504782,39.82988489,2.67
里二泗幼儿园,116.7505485,39.83326468,1.56
里老村,116.875669,39.66501548,1
荔景园南口,116.696992,39.90843725,4.33
荔景园小区,116.6969042,39.90840432,5.44
凉水河桥南1,116.5401133,39.75909184,29.89
凉水河桥南2,116.5401033,39.75912113,28.22
梁各庄村1,116.7383631,39.85610935,3.78
梁各庄村2,116.7383212,39.8561114,3.78
梁各庄村3,116.7383397,39.85611757,3.78
梁各庄村4,116.7383182,39.85612739,3.78
梁各庄村5,116.7382682,39.85612535,3.78
梁各庄村6,116.7382682,39.85614328,3.78
梁各庄村7,116.736543,39.85667442,1
林屯村,116.884412,39.81208791,1.56
临沟屯,116.7287058,39.62546071,1.56
临河里路,116.6815248,39.87649681,8.22
临河里路北口,116.6808522,39.88053414,29.33
临河里路南口,116.6847678,39.87166224,4.89
临时站,116.7315597,39.84774002,1
凌庄1,116.8460577,39.74497902,4.33
凌庄2,116.8460453,39.744967,4.33
刘庄,116.6672045,39.9387605,4.33
刘庄北口,116.6671994,39.93885861,4.33
六合村,116.7007958,39.9360676,1.56
六合桥西,116.6985453,39.93511612,5.44
六合新村,116.7174822,39.93530594,2.67
龙鼎家园,116.6423741,39.87694657,38.22
龙庄村,116.8430928,39.71038035,5.44
龙庄客运站,116.8381162,39.71010619,2.67
陆航学院1,116.6518823,39.83501916,1.56
陆航学院2,116.6518782,39.83500511,1.56
陆航学院3,116.6518782,39.8350103,1.56
陆辛庄村,116.6766078,39.79303436,7.11
陆辛庄村东口,116.6822187,39.79164729,3.22
陆辛庄学校,116.6700077,39.79232385,2.11
潞关1,116.6948898,39.79166865,9.33
潞关2,116.6948827,39.79166887,9.33
潞关村1,116.6946911,39.79208002,12.67
潞关村2,116.6947511,39.78548868,3.22
潞关村3,116.6948996,39.79175692,10.44
