pts.lon,pts.lat,pts.amenity
-73.9660479,40.752397,embassy
-73.9660158,40.7523849,embassy
-73.9719546,40.7504628,embassy
-73.971162,40.7508703,embassy
-73.9659889,40.7523728,embassy
-73.9703035,40.7559967,embassy
-73.9793307,40.7559436,embassy
-73.9761701,40.7480669,embassy
-73.9767445,40.7507309,embassy
-73.9538646,40.7693393,embassy
-73.971621,40.7502368,embassy
-73.971643,40.7502106,embassy
-73.9716636,40.7501826,embassy
-73.9740451,40.7509542,embassy
-73.9684427,40.7510614,embassy
-73.9722372,40.7534817,embassy
-73.9715528,40.7502877,embassy
-73.9592319,40.760412,embassy
-73.9722811,40.7467154,embassy
-73.9691265,40.750902,embassy
-73.9702345,40.7532978,embassy
-73.9711089,40.7508984,embassy
-73.969032,40.7527506,embassy
-73.965965,40.7523609,embassy
-73.9719609,40.7504548,embassy
-73.9752214,40.7500445,embassy
-73.9715751,40.7502555,embassy
-73.9748245,40.7497955,embassy
-73.9710858,40.7508914,embassy
-73.9705387,40.7547769,embassy
-73.9659336,40.7523498,embassy
-73.9665253,40.7566172,embassy
-73.965904,40.7523376,embassy
-73.9692311,40.7509432,embassy
-73.9748008,40.7498263,embassy
-73.9699967,40.7532927,embassy
-73.9658707,40.752323,embassy
-73.9715946,40.7502279,embassy
-73.9690104,40.752776,embassy
-73.9700151,40.7532678,embassy
-73.9658384,40.752309,embassy
-73.9719708,40.7504582,embassy
-73.9715316,40.7503091,embassy
-73.9658043,40.752296,embassy
-73.9671081,40.7533422,embassy
-73.9685297,40.7531115,embassy
-73.9717926,40.7507266,embassy
-73.9719757,40.7504508,embassy
-73.966313,40.7664513,embassy
-73.9800449,40.7507774,embassy
-73.9716128,40.7502004,embassy
-73.9746391,40.7495075,embassy
-73.9734965,40.7495793,embassy
-73.9659854,40.7695933,embassy
-73.9653698,40.7733314,embassy
-73.9750749,40.7841202,police
-73.9643728,40.7832684,police
-74.0020911,40.7119414,police
-73.9248593,40.8103786,police
-73.9532901,40.7267398,police
-73.9850825,40.7649371,police
-73.9638999,40.7671435,police
-73.9949396,40.7538947,police
-73.9624756,40.707208,police
-73.9469466,40.7889199,police
-73.9884184,40.8213266,police
-73.9974633,40.7161816,police
-73.9837197,40.7163634,police
-74.0070419,40.7203451,police
-73.9779373,40.7248218,police
