,long,lat,id,num
6466,-73.9728159,40.7365312,7.0815,47
6467,-73.972715,40.7358288,7.0816,30
6468,-73.9936738,40.7166531,7.0817,191
6469,-73.993671,40.7166588,7.0818,191
6470,-73.9935971,40.7166378,7.0819,191
6471,-73.9935805,40.7166322,7.082,190
6472,-73.9935729,40.7166279,7.0821,190
6473,-73.9935699,40.7166251,7.0822,190
6474,-73.9935657,40.7166187,7.0823,190
6475,-73.9935643,40.7166115,7.0824,189
6476,-73.9935658,40.7166044,7.0825,189
6477,-73.9935891,40.7165745,7.0826,189
6478,-73.9935823,40.7165585,7.0827,188
6479,-73.9935788,40.7165419,7.0828,187
6480,-73.9935783,40.7165335,7.0829,187
6481,-73.9935798,40.7165167,7.083,186
6482,-73.9935885,40.7164899,7.0831,184
6483,-73.9935271,40.7164718,7.0832,183
6484,-73.993529,40.7164681,7.0833,182
6485,-73.9935099,40.7164625,7.0834,184
6486,-73.9934762,40.7165288,7.0835,185
6487,-73.9934734,40.7165312,7.0836,186
6488,-73.9934663,40.7165345,7.0837,186
6489,-73.9934581,40.7165355,7.0838,187
6490,-73.99345,40.7165343,7.0839,186
6491,-73.9934431,40.7165308,7.084,186
6492,-73.9934383,40.7165257,7.0841,186
6493,-73.9934351,40.7165168,7.0842,186
6494,-73.9934285,40.7165298,7.0843,187
6495,-73.9932654,40.7164819,7.0844,182
6496,-73.9932439,40.7165243,7.0845,186
6497,-73.9930854,40.7164777,7.0846,176
6498,-73.9930757,40.716473,7.0847,175
6499,-73.9930575,40.7164621,7.0848,171
6500,-73.9930414,40.7164495,7.0849,167
6501,-73.9930276,40.7164354,7.085,167
6502,-73.9930216,40.7164278,7.0851,167
6503,-73.9930118,40.7164119,7.0852,165
6504,-73.9930079,40.7164036,7.0853,164
6505,-73.9930025,40.7163865,7.0854,164
6506,-73.9930009,40.7163778,7.0855,163
6507,-73.9929999,40.7163602,7.0856,163
6508,-73.9930021,40.7163427,7.0857,163
6509,-73.9930098,40.7163166,7.0858,161
6510,-73.9930236,40.716285,7.0859,159
6511,-73.9931356,40.7160645,7.086,166
6512,-73.9931403,40.7160584,7.0861,167
6513,-73.9931516,40.7160472,7.0862,167
6514,-73.9931581,40.7160421,7.0863,168
6515,-73.9931726,40.7160334,7.0864,168
6516,-73.9931846,40.7160281,7.0865,169
6517,-73.9931974,40.7160239,7.0866,172
6518,-73.9932062,40.7160218,7.0867,171
6519,-73.9932245,40.7160192,7.0868,171
6520,-73.9932337,40.7160189,7.0869,171
6521,-73.9932522,40.7160198,7.087,171
6522,-73.9932703,40.716023,7.0871,173
6523,-73.9932831,40.7160279,7.0872,171
6524,-73.9935133,40.7160956,7.0873,167
6525,-73.9936873,40.7157531,7.0874,163
6526,-73.9937975,40.7157856,7.0875,166
6527,-73.9937758,40.7158284,7.0876,164
6528,-73.9939096,40.7158677,7.0877,172
6529,-73.9939205,40.7158657,7.0878,172
6530,-73.9939426,40.7158634,7.0879,172
6531,-73.993965,40.7158632,7.088,172
6532,-73.9939872,40.7158652,7.0881,173
6533,-73.9940088,40.7158694,7.0882,174
6534,-73.9940194,40.7158723,7.0883,174
6535,-73.9940395,40.7158796,7.0884,174
6536,-73.9940583,40.7158888,7.0885,175
6537,-73.9940754,40.7158998,7.0886,175
6538,-73.9940831,40.7159059,7.0887,176
6539,-73.9940971,40.7159193,7.0888,177
6540,-73.9941086,40.7159338,7.0889,179
6541,-73.9941176,40.7159494,7.089,179
6542,-73.994121,40.7159575,7.0891,178
6543,-73.9941259,40.7159741,7.0892,179
6544,-73.9941278,40.715991,7.0893,179
6545,-73.9941277,40.7159995,7.0894,179
6546,-73.9941254,40.7160164,7.0895,181
6547,-73.9941201,40.716033,7.0896,181
6548,-73.9940636,40.7161449,7.0897,180
6549,-73.9939966,40.7161252,7.0898,181
6550,-73.9939469,40.7162231,7.0899,184
6551,-73.9940298,40.7162475,7.09,184
6552,-73.9940355,40.7162557,7.0901,185
6553,-73.9940365,40.7162617,7.0902,185
6554,-73.9940345,40.7162676,7.0903,185
6555,-73.9940297,40.7162725,7.0904,184
6556,-73.9940229,40.7162756,7.0905,184
6557,-73.994015,40.7162766,7.0906,185
6558,-73.9940271,40.7162802,7.0907,184
6559,-73.9939306,40.7164701,7.0908,190
6560,-73.9939617,40.7164792,7.0909,188
6561,-73.9938998,40.7165994,7.091,196
6562,-73.9938885,40.7166138,7.0911,194
6563,-73.9938748,40.7166269,7.0912,193
6564,-73.9938589,40.7166385,7.0913,193
6565,-73.9938411,40.7166484,7.0914,191
6566,-73.9938117,40.7166598,7.0915,190
6567,-73.9937798,40.7166664,7.0916,190
6568,-73.9937469,40.7166681,7.0917,188
6569,-73.9937141,40.7166648,7.0918,190
6570,-73.9936829,40.7166567,7.0919,191
6571,-73.9936738,40.7166531,7.092,191
6572,-73.9963853,40.7367119,7.0921,728
6573,-73.9963986,40.7366937,7.0922,721
6574,-73.9963154,40.7366585,7.0923,722
6575,-73.9962405,40.7366269,7.0924,721
6576,-73.9964215,40.736379,7.0925,711
6577,-73.9967361,40.736512,7.0926,704
